t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645802165,157,0.057480,0.094575,0.096859,0.065745,events/second
1645802195,158,0.057217,0.069817,0.090787,0.064680,events/second
1645802225,161,0.057677,0.083592,0.091745,0.065847,events/second
1645802255,163,0.057772,0.074613,0.089252,0.065862,events/second
1645802286,166,0.058216,0.070510,0.087051,0.065882,events/second
1645802316,167,0.057957,0.065762,0.084952,0.065890,events/second
1645802346,169,0.058046,0.065141,0.083161,0.065909,events/second
1645802376,170,0.057794,0.051964,0.078391,0.064838,events/second
1645802406,172,0.057884,0.056772,0.077224,0.064892,events/second
1645802436,173,0.057638,0.046888,0.073020,0.063854,events/second
1645802466,175,0.057727,0.053694,0.072363,0.063940,events/second
1645802496,176,0.057488,0.045021,0.068622,0.062934,events/second
1645802526,178,0.057577,0.052561,0.068384,0.063050,events/second
1645802556,179,0.057344,0.044334,0.065021,0.062073,events/second
1645802586,181,0.057432,0.052144,0.065126,0.062217,events/second
1645802616,182,0.057205,0.044081,0.062073,0.061267,events/second
1645802646,184,0.057293,0.051991,0.062458,0.061438,events/second
1645802676,185,0.057071,0.043988,0.059659,0.060514,events/second
1645802706,187,0.057159,0.051935,0.060274,0.060710,events/second
1645802736,188,0.056942,0.043954,0.057683,0.059809,events/second
1645802766,190,0.057030,0.051914,0.058486,0.060028,events/second
1645802796,191,0.056818,0.043941,0.056065,0.059150,events/second
1645802826,193,0.056905,0.051906,0.057022,0.059390,events/second
1645802856,194,0.056698,0.043937,0.054740,0.058533,events/second
1645802886,196,0.056785,0.051903,0.055823,0.058793,events/second
1645802916,197,0.056582,0.043935,0.053656,0.057956,events/second
1645802946,199,0.056669,0.051902,0.054842,0.058235,events/second
1645802976,200,0.056471,0.043934,0.052768,0.057416,events/second
1645803006,202,0.056556,0.051902,0.054039,0.057713,events/second
1645803036,203,0.056363,0.043934,0.052041,0.056911,events/second
1645803066,205,0.056448,0.051902,0.053381,0.057224,events/second
1645803096,206,0.056258,0.043934,0.051445,0.056438,events/second
1645803126,208,0.056343,0.051902,0.052842,0.056767,events/second
1645803156,209,0.056157,0.043934,0.050958,0.055996,events/second
1645803186,211,0.056241,0.051902,0.052401,0.056340,events/second
1645803216,212,0.056059,0.043934,0.050559,0.055583,events/second
1645803246,214,0.056142,0.051902,0.052040,0.055940,events/second
1645803276,215,0.055964,0.043934,0.050232,0.055196,events/second
1645803306,217,0.056047,0.051902,0.051745,0.055566,events/second
1645803336,218,0.055872,0.043934,0.049965,0.054834,events/second
1645803366,220,0.055954,0.051902,0.051503,0.055216,events/second
1645803396,221,0.055783,0.043934,0.049746,0.054495,events/second
1645803426,223,0.055864,0.051902,0.051305,0.054888,events/second
1645803456,224,0.055696,0.043934,0.049567,0.054178,events/second
1645803486,226,0.055778,0.051902,0.051142,0.054582,events/second
