t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645802165,411,0.150413,0.201544,0.192593,0.148339,events/second
1645802195,414,0.149865,0.161769,0.183805,0.146758,events/second
1645802225,420,0.150403,0.178271,0.185402,0.148509,events/second
1645802255,423,0.149867,0.147653,0.177298,0.146922,events/second
1645802286,429,0.150393,0.169709,0.179515,0.148668,events/second
1645802316,432,0.149868,0.142460,0.171971,0.147076,events/second
1645802346,438,0.150384,0.166559,0.174695,0.148817,events/second
1645802376,441,0.149870,0.140550,0.167609,0.147219,events/second
1645802406,447,0.150375,0.165401,0.170748,0.148956,events/second
1645802436,450,0.149872,0.139847,0.164038,0.147354,events/second
1645802466,456,0.150367,0.167169,0.167623,0.149098,events/second
1645802496,459,0.149873,0.142002,0.161263,0.147497,events/second
1645802526,465,0.150359,0.168476,0.165112,0.149237,events/second
1645802556,468,0.149874,0.142795,0.158991,0.147632,events/second
1645802586,474,0.150351,0.168957,0.163056,0.149367,events/second
1645802616,477,0.149876,0.143086,0.157131,0.147758,events/second
1645802646,483,0.150343,0.169134,0.161373,0.149489,events/second
1645802676,486,0.149877,0.143193,0.155608,0.147875,events/second
1645802706,492,0.150336,0.169199,0.159995,0.149602,events/second
1645802736,495,0.149879,0.143233,0.154361,0.147985,events/second
1645802766,501,0.150329,0.169223,0.158867,0.149709,events/second
1645802796,504,0.149880,0.143247,0.153340,0.148088,events/second
1645802826,510,0.150323,0.169232,0.157943,0.149808,events/second
1645802856,513,0.149881,0.143253,0.152505,0.148184,events/second
1645802886,519,0.150316,0.169235,0.157186,0.149901,events/second
1645802916,522,0.149882,0.143255,0.151820,0.148274,events/second
1645802946,528,0.150310,0.169236,0.156567,0.149989,events/second
1645802976,531,0.149884,0.143255,0.151260,0.148359,events/second
1645803006,537,0.150305,0.169237,0.156060,0.150070,events/second
1645803036,540,0.149885,0.143256,0.150801,0.148438,events/second
1645803066,546,0.150299,0.169237,0.155645,0.150146,events/second
1645803096,549,0.149887,0.143256,0.150426,0.148511,events/second
1645803126,555,0.150293,0.169237,0.155305,0.150218,events/second
1645803156,558,0.149888,0.143256,0.150118,0.148580,events/second
1645803186,564,0.150288,0.169237,0.155027,0.150284,events/second
1645803216,567,0.149889,0.143256,0.149866,0.148645,events/second
1645803246,573,0.150282,0.169237,0.154799,0.150347,events/second
1645803276,576,0.149889,0.143256,0.149660,0.148705,events/second
1645803306,582,0.150277,0.169237,0.154613,0.150405,events/second
1645803336,585,0.149890,0.143256,0.149492,0.148762,events/second
1645803366,591,0.150272,0.169237,0.154460,0.150460,events/second
1645803396,594,0.149891,0.143256,0.149353,0.148815,events/second
1645803426,600,0.150267,0.169237,0.154335,0.150511,events/second
1645803456,603,0.149892,0.143256,0.149240,0.148864,events/second
1645803486,609,0.150263,0.169237,0.154233,0.150559,events/second
1645803516,612,0.149893,0.143256,0.149148,0.148910,events/second
1645803546,618,0.150259,0.169237,0.154149,0.150603,events/second
1645803576,621,0.149894,0.143256,0.149072,0.148953,events/second
1645803606,627,0.150254,0.169237,0.154080,0.150645,events/second
1645803636,630,0.149895,0.143256,0.149010,0.148994,events/second
1645803666,636,0.150250,0.169237,0.154024,0.150684,events/second
1645803696,639,0.149896,0.143256,0.148959,0.149032,events/second
1645803726,645,0.150246,0.169237,0.153978,0.150721,events/second
1645803756,648,0.149897,0.143256,0.148917,0.149067,events/second
1645803786,654,0.150242,0.169237,0.153941,0.150755,events/second
1645803816,657,0.149898,0.143256,0.148883,0.149100,events/second
1645803846,663,0.150238,0.169237,0.153910,0.150787,events/second
1645803876,666,0.149898,0.143256,0.148855,0.149131,events/second
1645803906,672,0.150234,0.169237,0.153885,0.150817,events/second
1645803936,675,0.149899,0.143256,0.148833,0.149160,events/second
1645803966,681,0.150230,0.169237,0.153864,0.150845,events/second
1645803996,684,0.149900,0.143256,0.148814,0.149187,events/second
1645804026,690,0.150227,0.169237,0.153847,0.150872,events/second
1645804056,693,0.149901,0.143256,0.148799,0.149213,events/second
1645804086,699,0.150223,0.169237,0.153833,0.150896,events/second
1645804116,702,0.149901,0.143256,0.148786,0.149237,events/second
1645804146,708,0.150220,0.169237,0.153822,0.150919,events/second
1645804176,711,0.149902,0.143256,0.148776,0.149259,events/second
1645804206,717,0.150216,0.169237,0.153813,0.150941,events/second
1645804236,720,0.149903,0.143256,0.148767,0.149280,events/second
1645804266,726,0.150213,0.169237,0.153805,0.150961,events/second
1645804296,729,0.149903,0.143256,0.148760,0.149299,events/second
1645804326,735,0.150210,0.169237,0.153799,0.150980,events/second
1645804356,738,0.149904,0.143256,0.148755,0.149317,events/second
1645804386,744,0.150207,0.169237,0.153794,0.150997,events/second
1645804918,753,0.137286,0.065656,0.046132,0.092115,events/second
1645905630,30,1.244260,0.555368,0.283291,0.228509,events/second
1645905660,54,0.995724,0.655029,0.332664,0.247268,events/second
1645905690,60,0.712222,0.478512,0.320191,0.245737,events/second
1645905720,72,0.630138,0.454928,0.328110,0.250831,events/second
